글쓰기 지시문
문학이 우리 삶에 미치는 영향력과 의미는?

학생 정보
학년,20~30대
지역,인천
성별,여
출처,리딩엠

지시문 정보
분량,
키워드,

학생 답변
"문학은 사회문화 변화에 큰 영향을 미칠 수 있다. 문학 작품은 특정 시대나 사회에서 현실을 반영하거나 현실을 초월하는 이상적인 세계를 제시하기도 한다. 특히, 문학은 사회문제, 정치적 이슈, 사회적 논쟁 등에 대한 대표적인 의견을 제공하는 역할을 한다. 문학은 사회문화의 정체성을 형성하고 변화시키는 하나의 동력이 되며, 새로운 가치와 아이디어를 제시하기도 한다. 문학 작품은 사회환경과 밀접한 상관관계를 가진다. 문학은 특정 시대, 사회적, 정치적, 경제적 배경에서 형성되며, 이러한 사회환경과 상호작용한다. 문학 작품은 사회문화의 특정 시기나 상황을 포착하여 재현하거나 비판하는 역할을 한다. 또한, 특정 사회문화의 가치, 도덕, 윤리, 역사 등을 기반으로 한 작품들이 형성되어 사회환경과의 연관성을 보여줄 수 있다.
그 예시로는 재미있는 선거와 정치 이야기>가 있다. 먼저 입법부, 행정부, 사법부의 권력이 균형을 이루어야 한다는 삼권분립의 원칙이 가장 인상깊었다. 먼저 입법부에는 국회의원이 속해 있으며 국민을 위한 법안을 만들고 새로 고치는 등의 일을 맡고 있다. 그리고 행정부에는 대통령과 각부 장, 차관 등이 있다. 우리나라는 단임제를 통해 5년간 대통령의 권한을 행사할 수 있다. 행정부가 하는 주된 일을 나라의 살림을 잘 관리하고 운영하는 것이다. 그리고 사법부에는 판사 등이 있고 재판을 하여 법의 해석을 통해 죄의 여부를 판단하는 역할을 하고 있다. 이 입법부, 사법부, 행정부 세권력이 힘의 균형을 유지하는 것이 매우 중요한 것이라고 생각했다. 선거와 정치라는 말이 아직은 낯설고 깊게 와닿지 않았었다. 하지만 책을 읽은 후에 헌법의 뜻과 정당의 의미와 하는 일 등을 알 수 있었다. 또 국회의원이 지켜야 할 의무와 헌법에서 보장하고 있는 국민의 기본권과 의무에 대해서도 보다 자세히 알게 되는 계기가 되었다. 우리나라는 국민이 나라의 주인이며 모든 권력은 국민으로부터 나온다고 헌법에 명시되어 있다. 민주주의를 채택하고 있는 우리나라에서 다수결의 원칙이 어떠한 의미를 가지고 있는지 생각해 보았다. 먼저 이 제도의 장점은 결정이 빠르고 쉽다는 것이다. 하지만 소수의 의견이 존중되지 못하여 다수의 의견에 묻히게 되는 단점이 존재한다. 따라서 다수결의 원칙의 단점을 보완하기 위해 충분한 대화와 타협을 통해 의견을 조정하는 시간을 갖는 것이 중요하다. 그러한 과정을 거친 후 다수의 의견을 토대로 소수의 의견도 존중하여 보다 타당한 합의를 이끌어 내는 것이 옳은 방향이라고 생각한다.
이처럼 문학 작품은 종종 사회적 현상이나 사회 문제를 다루기도 한다. 문학은 사회의 표현이라는 말을, 문학은 사회 생활의 한 단면을 잘라서 제시한 것이어야 한다는 말로 극단적 해석을 한 적도 있다. 사진처럼 문학은 실생활을 그대로 모사해야 한다는 것이다. 그러나 문학이 실생활의 그대로의 모사에 지나지 않는다면, 그것을 제시하는 것은 아무런 의미가 없다. 있는 그대로를 보여 주는 사진도 구도라는 것이 있고, 또 특별히 의의 있는 순간을 기념하기 위한 것이 보통이다. 문학은 글이니까 사회의 모습을 시각적으로 다 옮길 수는 없다. 즉, 글로 전달할 내용을 취사선택 해야 한다는 것이다. 사진은 의의 깊은 한 순간을 포착한 것이지만, 문학은 인생의 여러 모습 중에서 작가가 특히 의미있는 부분을 선택한 것이므로 작가의 인생관이 반영되기도 한다. 꾸며진 이야기는 작가의 의도에 따라 실생활과 비슷하게도, 다르게도 꾸며질 수 있다. 작가들은 문학을 통해 자신의 생각과 감정을 표현하고 사회에 대한 비판적인 시각을 전달한다. 문학은 사회적인 문제를 다양한 관점에서 바라볼 수 있게 해주며, 독자들도 작품을 통해 사회적 현상에 대해 생각하고 공감할 수 있게 된다. 문학과 사회문화 간의 상호작용을 탐구하기 위해서는 다양한 관점과 연구 방법론을 활용한다. 문학적 작품 분석, 비교 연구, 사회적, 정치적, 문화적 맥락의 조사 등을 통해 문학 작품이 어떻게 사회문화와 상호작용하며, 어떤 영향을 미치는지를 밝히고자 한다. 이를 통해 우리는 문학과 사회문화의 복잡한 관계를 이해하고, 문학의 역할과 영향력을 파악할 수 있을 것이다."
