글쓰기 지시문
경제 성장이 민주주의 발전에 미친 영향에 대해 논술하세요.

학생 정보
학년,20~30대
지역,서울
성별,여
출처,리딩엠

지시문 정보
분량,
키워드,

학생 답변
"대부분의 사람들은 자기 마음대로 할 수 있다면 자기 마음대로 할 것이다. 절대왕정시기의 왕들도 똑같았다. 나라가 평화로우니 백성들의 골머리를 앓게 하면서 호화로운 삶을 살았다. 그러니 백성들은 자연히 왕에 대한 불만이 쌓여갔다. 그리하여 참던 백성들이 봉기를 들고 일어난 것이 시민혁명이다. 시민혁명은 왕정의 부정부패를 금지시키는 것, 인권 보장, 제대로 된 정치 등을 요구하기 위해서 일어났다.
위처럼 정치를 못하면 국민들이 힘들지만 잘하면 국민들이 편안하다. 그러나 보통은 다 완벽하기는 너무나 어렵다. 장단점을 동시에 가지고 있다. 10.26 사태로 김재규에게 사살당한 박정희 전 대통령은 암담한 최후를 맞은 정치가 중 하나다. 한강의 기적을 이끌며 눈부신 경제성장을 만들어냈고 삼백 산업에서 오늘날의 디지털 산업까지 중 진입이 힘든 중화학공업을 가능하게 한 인물이다. 기술력이 좋은 기업들에 투자를 많이 하여 성장 또한 도왔다. 그러나 단점은 독재정치를 했다는 점이다. 5~9대까지 대통령을 했다, 도중에 유신헌법을 만들면서 많은 국민들의 반발을 샀다. 그럼에도 무력진압을 하며 독재 정치를 이어가다 부하인 김재규의 총탄에 독재의 막을 내렸다. 이러한 독재 정치에서 현 사회는 벗어날 수 있다고 할 수 있을까? 우리나라는 민주주의 국가임을 표명하고 있지만, 이러한 민주주의 국가로 발전하기까지 독재 정치로 인한 경제 성장 과정이 과연 정당화될 수 있을까? 960년대부터 시작된 박정희 정부의 경제 개발 정책은 한국을 불과 몇십 년 만에 가난한 농업 국가에서 세계 10위권 경제 대국으로 탈바꿈시켰다. 이는 다른 말로  ‘한강의 기적’이라 불리며 전 세계의 주목을 받았지만, 눈부신 성장의 이면에는 고속 성장의 그림자가 짙게 드리워져 있다. 박정희 정부는 이러한 어려움 속에서도 과감한 경제 개발 정책을 추진하여 불과 10여 년 만에 한국을 '한강의 기적'이라 불리는 눈부신 경제 성장을 이룩했고, 시제로 이러한 급진적인 성장은  960년대 초 100달러 수준이었던 1인당 국민소득이 1979년에는 1,000달러를 돌파하며 10배 이상으로 이어지게 하였으며, 농업 사회에서 산업 사회로의 급격한 변화를 이루어, 제조업이 경제 성장을 이끄는 중요한 축으로 자리 잡게 했다. 이러한 과정이 결코 눈부시다고 할 수만은 없을 것이다. 박정희 정부의 경제 개발 정책은 한국 경제 발전에 크게 기여했지만, 경제 성장만을 추구한 결과 다양한 사회 문제를 야기했다.  경제 개발의 과정에서 발생한 부작용은 현재까지도 한국 사회에 큰 영향을 미치고 있기에 한편으론 민주주의로의 걸음을 늦췄다고 볼 수 있다. 경제 성장의 혜택은 실질적으로 대부분 대기업과 부유층에게 돌아갔고, 소외 계층과 빈곤층은 더욱 어려움에 처했다. 또 정부는 경제 성장을 위해 기업 경영에 적극적으로 개입했습니다. 경제 성장은 정치 안정을 가져왔지만, 민주주의는 퇴보할 수밖에 없었다. 특히, 정부 주도의 개발 정책은 자본과 권력을 특정 계층에 집중시켰고, 이는 사회적 불평등을 심화시키는 원인이 되었다. 또한, 산업화 과정에서 발생한 환경 오염과 노동 착취 문제는 사회적 갈등을 증폭시켰다. 이러한 문제들은 오늘날까지도 한국 사회의 주요 과제로 남아 있으며, 빈부 격차 해소와 사회 통합을 위한 지속적인 노력이 이뤄지고 있지만, 별 다른 변화를 일으키진 못하고 있다. 우리는 급격한 경재 성장을 직접 경험한 민족으로서 이러한 부작용을 몸소 겪었다. 경제 성장을 위해 정치 개입을 선택한 것이 옳았는가에 대한 논쟁은 현재까지도 이어지고 있다. 경제 성장은 이룩했지만 민주주의와 인권을 희생해야 했다는 비판이 있다. 경제 성장과 민주주의, 인권은 상충하는 가치가 아닌 조화로운 발전을 이루어야 한다는 목소리가 높아지고 있기에 우리는 경제 개발 정책을 통해 얻은 교훈을 바탕으로 지속 가능한 성장, 민주주의와 인권 존중, 공정한 분배를 이루어야 합니다. 빠른 경제 성장만을 추구하는 것은 장기적으로 사회 발전에 해가 될 수있다는 것을 기억하며 행동해야 할 것이다. 그래야 우리가 원하는 이상적인 사회에 차츰 가까워질 수 있을 것이다."
