글쓰기 지시문
"현대사회에서 사회적 불평등이 어떻게 형성되고 있는지 설명하고, 이를 해소하기 위한 정책에 대해 논술하세요."

학생 정보
학년,20~30대
지역,대전
성별,남
출처,리딩엠

지시문 정보
분량,
키워드,

학생 답변
"현대 사회에서 사회적 불평등은 다양한 요인으로 형성되고 있으며, 이를 해소하기 위한 정책에 대한 논의가 필요하다. 올해는 1997년 IMF 이후 소득 불평등이 가장 심해진 해라고 한다. 대기업의 로비나 비자금, 정치인들이나 언론들의 뇌물, 그리고 그 아랫사람들은 위에서 시키는 대로 할 수밖에 없는 사람들 등 이러한 경제 불평등을 해소할 수 있을까? 개인이 할 수 있는 것인가? 국가적인 노력이 필요한 것일까?
 경제적인 불평등을 해소할 수 있냐고 묻는다면, 나는 NO라고 대답할 것이다. 우리가 자본주의 시대에 살고 있는데 정치적으로 검열 관련법이나 언론의 노력이 있어도 경제 불평등이 감소할 수는 있어도 해소하기는 어려울 것이다. 이는 우리 사회의 구조적인 문제에서 기인한다. 우리나라 경제 개발 초기에 우리는 처음에 노동력을 바탕으로 값싼 물건들을 팔기 시작했고, 건설 사업이 시작되면서 나라에서 돈부터 벌어야 한다는 생각으로 우리의 인권을 무시하면서 여러 운동, 대표적으로 전태일이 있었다. 전태일은 당시 노동자들의 고통을 세상에 알리기 위해 투쟁했으며, 이는 우리 사회의 노동 환경을 개선하는 데 중요한 전환점을 만들었다. 그 후 노동법이 더 좋아졌지만 아직도 경제 불평등은 존재한다.
 국가의 전폭적인 지지를 받으면서 여러 불법적인 개발이나 횡령, 뇌물을 정부에서 가려줬다. 이런 상황 속에서 권력을 가진 사람들은 자신들의 이익을 위해 부당한 방법을 사용했고, 이는 일반 서민들의 삶에 큰 영향을 미쳤다. 그러다 IMF 이후 빈부격차가 심해졌다. 이 시기를 지나면서 많은 사람들이 실업에 시달렸고, 가난이 대물림되는 현상이 더욱 두드러졌다. 옛날에는 경제만 올라가고 문화적인 수준이 따라가질 못했지만 지금에 들어서 차츰 따라잡고 있다. 그러나 여전히 대기업과 언론 간의 유착관계가 문제로 남아있다.
 하지만 최근 정부에서 대기업 뇌물을 받거나 언론에서 그런 기업의 문제를 잘 알리지 않은 것과 기업에 대한 처벌이 약한 것을 보면 우리 경제 불평등의 해소는 불가능하다고 생각한다. 최근에는 BMW 차량의 문제를 방관한 사진으로 법안을 고치려는 움직임이 보였다. 우리가 이런 기업의 문제를 해소하기는 힘들지만 최소화시킬 수는 있다. 예로 미국에서 존슨&존슨에서 독성물질이 있는 것을 방관한 사례가 있다. 이로 인해 몇 천억 원을 내고 국민들이 아예 불매 운동을 일으켜 회사 자체가 위기에 처했는데 우리는 아직 그 정도로 나타나지 못한다.
 우리가 자본주의 사회에서 살면 경제 불평등은 어쩔 수 없다. 그러나 자본주의가 없어져야 하는 것은 아니다. 각 시대와 국민들의 문화, 경제적 수준에 따라 각 사회에 맞는 제도가 있다. 자본주의의 문제를 해소하다가 다른 문제가 생길 수도 있다. 그러지 말고 문제를 최소화시켜야 한다. 이를 위해서는 정부의 적극적인 정책이 필요하다. 예를 들어, 부유층에 대한 세금을 인상하고, 그 세금을 저소득층에게 지원하는 형태의 사회복지 정책이 필요하다. 
 또한, 공공의료와 교육의 질을 높여 모든 사람들이 평등하게 접근할 수 있도록 해야 한다. 사회적 불평등 문제는 단순히 경제적인 문제를 넘어 사회의 안정성과 지속가능성에 직결된다. 우리가 이 문제를 해결하기 위해서는 모두의 노력이 필요하다. 정책적으로 불평등을 해소하기 위해 각계각층에서의 참여가 필수적이다. 나 또한 이 문제에 대해 더욱 관심을 갖고, 내가 할 수 있는 작은 일부터 실천해 나가야겠다는 다짐을 한다. 
 이런 다짐은 나에게 많은 의미가 있다. 불평등을 줄이기 위한 노력은 나 혼자서 할 수 있는 일이 아니며, 많은 사람들의 협력이 필요하다는 것을 깨달았다. 우리가 함께 이 문제를 인식하고 해결해 나간다면, 조금 더 나은 사회를 만들어갈 수 있을 것이라 믿는다. 이러한 변화가 우리 사회에 긍정적인 영향을 미치길 바라며, 불평등이 없는 세상을 위해 모두가 한 마음으로 나아가야 한다. 이처럼, 우리가 사회적 불평등 문제를 해결하기 위한 다양한 정책을 제안하고 실행할 수 있도록 모두의 노력이 모여야 한다. 지금 당장 할 수 있는 작은 행동, 예를 들어 불공정한 거래에 대한 목소리를 높이거나, 지역사회의 자원봉사 활동에 참여하는 것부터 시작할 수 있다. 이런 작은 변화가 모여 결국 큰 변화를 만들고, 지속 가능한 사회로 나아가는 길이 될 것이다."
