글쓰기 지시문
문학이 우리 삶에 미치는 영향력과 의미는?

학생 정보
학년,20~30대
지역,서울
성별,남
출처,리딩엠

지시문 정보
분량,
키워드,

학생 답변
"우리는 상대방의 마음을 이해하려고 한다. 왜 그럴까? 우리는 상대방을 이해하지 않으면 서로 의견이 엇갈려 충돌할 수 있고 대화가 원활하지 않을 수도 있다. 서로 이해하지 않고 자기가 하고 싶은 것, 자기의 의견 등 자신의 의견만 계속 주장한다면 상대방의 기분이 상할 수도 있기 때문이다. 대화에서 가장 중요한 것은 상대에 대한 이해이다. 이해가 없이는 서로 대화를 주고 받을 수가 없다. 그럼 나는 어떨까? 나는 물론 누구든지 자신의 의견이 맞다고 생각하고 이것을 따르게 하고싶어 한다. 그렇지만 이렇게 해서는 정상적인 대화를 나누기 어렵다. 나는 서로 대화가 원활하고 상대방이나 내가 기분이 상하지 않기 위해서 상대방을 이해하려고 한다. 상대를 이해할 수 있어야만 진짜 대화를 이끌어 갈 수 있기 때문이다. 이러한 과정속에서 문학의 역할이 중요하다. 
책 해피버스데이>에서도 상대방 이해하기가 나온다. 이 책의 주인공인 #@이름#는 엄마에게 “너는 태어나지 말았어야 해.” 라는 말을 듣고 오빠와 비교되게 차별받는 등 여러가지 차별과 슬픔을 겪는다. #@이름#는 점점 마음에 돌덩이가 얹힌 것 같고 왜 살아야하는지 의문을 갖게 된다. 결국에는 슬픔에 잠겨 목소리 마저 잃어버리게 된다. 그래서 #@이름#의 선생님 ‘#@이름# 선생님’은 #@이름#의 엄마와 토론을 한다. 또 #@이름#는 외할머니와 외할아버지 댁에 가서 마음을 치유한다. 그러면서 자신의 엄마 어릴적 사진을 보게 된다. 그런데 그 사진을 보고서야 엄마의 죽은 언니가 있었다는 것을 알게 되었다. 그러면서 엄마가 자신에게 죽은 언니와 똑같이 생겨서 피하고 싶다는 것을 알았다. 엄마 또한 아픈 언니에게 집중되는 사랑과 관심 때문에 질투와 시기를 느끼는 어린시절을 보냈던 것이다. 이렇게 엄마의 어린시절 상처를 알게 되면서 자신을 못나다고 말하던 엄마를 향한 분노를 조금씩 수그러뜨리게 된다. 그리고 집에 다시 돌아와서는 엄마를 이해하며 완전 딴 사람이 되었다. 그리고 전학을 가게 되고 새 학교에서 새 친구들과 마주하며 다양한 경험을 하게되고 결국 #@이름#는 가장 용기있는 소녀가 되었다. 앞장서서 친구를 돕고 할 말을 용기내서 다 할수 있게 된 것이다. 또한 모두에게 진짜 사랑과 우정을 베푸는 사람으로 성장한다. #@이름#의 엄마도 결국은 자신이 #@이름#에게 잘못한 것을 깨닫고 후회하게 된다. 이 모든 것은 남이 이루어 준 것이 아닌 #@이름# 스스로가 이루어 낸 것들이다. 이런 책을 읽으면서 나는 사람이 이해하지 않고 자신의 입장만 생각한다면 사회가 어떻게 될까를 생각해 보게 된다. 모든것이 어긋나고 맨날 싸움이 일어났을 것 같다. 그렇다면 사회는 정말로 혼란과 무질서 뿐이었을 것이다. 이러한 일을 방지 하기 위해서는 또 어떻게 해야할까를 생각해 보게 된다. 또 이렇게 상대방이 처한 상황을 생각하며 상대방을 이해하는 내가 되어야겠다고 생각했다. 상대를 이해하고 앞으로 나아갈 수 있는 용기를 가지는 것도 정말 중요하다. 이러한 마음을 갖게 되는 과정 또한 정말 중요한 것 같다.
문학작품을 읽다보면 현재의 모습을 돌아보며 반성하게 된다. 나 역시 지금까지 상대방의 처지를 생각하지 않고 말한 적이 있는 것 같다. 이처럼 사람들의 마음을 이해하는 것은 매우 중요한 것 같다. 왜냐하면 상대방이 기분을 상하지 않게 하고 대화가 원활하게 이어질 수 있게 하기 위한 것도 있다. 또 상대방의 처지를 생각해야 상대방도 내 처지를 생각하고 이해해 줄 것이라고 생각한다. 따라서 나는 상대방을 이해하는 것은 매우 중요한 일이라고 생각한다. 문학 작품을 통해 현재의 나를 돌아보며 또 앞으로 나아가야 할 방향에 대해 생각해 보게 되므로 나 역시 현재에도 앞으로도 영향력을 받고 있다. 문학은 독자들의 삶에 지속적인 영향을 미친다. 어떤 작품은 독자의 성격 형성에 영향을 미치거나, 그들의 가치관을 변화시킬 수도 있다 이러한 변화는 종종 미세하지만 지속적이며, 독자의 성장과 발전에 영향을 미치게 된다. 처음부터 완벽한 사람이 어디있겠는가 이렇게 배움과 성장을 통해 조금 더 나은 나로 성장할 수 있게 되는 것이다. 이러한 면에서 문학이 우리의 삶에서 정말 큰 영향력을 끼치고 있다고 생각한다. 문학이 우리의 삶에 더 의미를 보태어 주고 있는 것이다."
