글쓰기 지시문
인권과 법의 중요성에 대해 설명하세요.

학생 정보
학년,초5
지역,인천
성별,남
출처,리딩엠

지시문 정보
분량,100
키워드,

학생 답변
"인권은 사람이라면 모두가 누려야할 권리이다. 이러한 권리가 중요하다는 건 말로 해결되는 문제가 아니다. 인종 차별이나 각 국가에 대한 비하가 인터넷 세상에서도 난무하는 것처럼 사람들은 쉽게 나와 다른 사람들을 비난하고, 자신이 불행하다는 이유로 남을 해치려고 한다. 이러한 상황에서 법이 마련되어 있지 않다면 살인이나강간같은 큰 범죄들이 여기저기서 일어나게 될 것이다. 옳지 않은 것은 이유를 불문하고 옳지 않은 것이니 이러한 행위를 저질렀을 때 벌을 받아야 한다는 것은 수맣은 사람들을 납득시킬 수 있는 유일한 길이다. 따라서 수많은 인구의 평화를 위해서는 법이 있어야 하고, 법 아래 사람들이 규범을 지켜나가야 한다. 그래야 질서있고, 서로를 존중하고, 배려하는 문화가 지켜지는 것이다. 법은 인식 다음에 따라오는 것이 아니다. 법이 마련되어 있어야 사람들의 인식이 제고되는 것이다. 흑인 노예 제도가 폐지된 이후에도 여전히 인종차별은 들끓고 있다. 이러한 상황에서 노예 제도가 폐지되지 않았다면 우리 세상은 어땠을까? 해외 여행은 커녕 다른 인종의 사람들과 부딪치기만 해도 범죄가 발생할 것이다. 법은 생각보다 우리의 일상에서 아주 중요한 역할을 하고 있다. 모두 법을 잘 따르기만 한다면 우리 세상은 평화로울 것이다.  개인이 사회에서 자유롭고 평등하게 살 수 있도록 하는 기본적인 조건을 제공한다.  요즘 사회적 질서와 개인의 자유가 자주 충돌합니다. 어떤 사람들은 개인의 자유를 원하고, 또 어떤 사람은 사회적 질서를 원합니다.  인권과 질서유지는 어느 한쪽이 중요하다기 보다는  모두에게 필효하다. 인권이 보장되지 않는 사회에서 남녀노소 모두가 제대로 된 자유과 권리를 누릴 수 없다. 또한 질서가 무너지면 인권보호하기도 힘들어진다. 그래서 둘 모두 우리 사회 공동체를 유지하기 위해 매우 중요하다. 인권은 모든 사람에게 평등한 기회를 보장하고, 차별을 금지하는 중요한 원칙이다. 인종, 성별, 종교, 장애, 성적 지향 등 어떠한 이유로도 차별받지 않을 권리를 제공함으로써, 사회의 모든 구성원이 동등하게 존중받고 기여할 수 있는 환경을 조성한다."
