글쓰기 지시문
환경을 보호하기 위한 방법을 설명하세요.

학생 정보
학년,초5
지역,서울
성별,남
출처,리딩엠

지시문 정보
분량,100
키워드,

학생 답변
"갈라파고스는 19개의 화산섬으로 이루어져 있다. 갈라파고스의 독특한 기후 때문에 이곳에는 아주 희귀한 동식물들이 사는데 이 독특한 기후는 갈라파고스에서 교차하는 네 개의 난류와 한류 때문에 생겨난 것이다. 갈라파고스의 동물에는 코끼리거북, 바다이구아나, 육지이구아나와 날지 못하는 새인 가마우지, 밤에만 사냥하는 제비꼬리 갈매기 등이 있다. 식물에는 특이한 종류의 선인장과 망그로브 등이 있다.

  이런 희귀동물이 많이 사는 갈라파고스가 위험에 처해 있다. 많은 관광객들의 발길과 동물들을 불법으로 사냥하는 사람들 때문이다. 갈라파고스를 살릴 수 있는 방법에 대해 생각해 보면 먼저 일년 관광객수를 제한해야 한다. 관광객수만 대폭 줄여도 환경은 확실히 이전보다 나아질 것이다. 또, '위험에 처한 세계유산'에 자연물들을 등록시킨다. 갈라파고스는 등록이 됐다가 해지된 사앹인데 다시 '위험에 처한 세계유산'에 등록시키기 위해 홍보를 하고 재등록 시켜야 한다. 마지막으로 희귀생물 보호구역을 만든다. 보호구역 내에 있는 동물들은 관람조차 불가능하게 만들고 사람의 발길이 닿지 않도록 주의한다면 희귀동물이 멸종하지 않을 것이다.

  다윈이 갈라파고스를 보고 진화론을 만들었듯이 우리는 인류 탄생의 비밀을 풀기 위하여 갈라파고스를 보존해야 한다. 그래야지 우리 인류의 멸종 위기가 처했을 때 막을 수 있다.

  우리는 인간만의 이득을 위해 살아가지 말고 환경을 생각하는 환경의식을 갖고 살아가야 한다. 자연이 멸종하면 결국 우리도 멸종하게 될 것이다. 사람들의 관람, 즉 재미와 여유를 위해 진행되는 갈라파고스 관광을 멈추고 이제는 환경이 숨쉴 수 있는 틈을 만들어 주는 것이 중요하다."
