글쓰기 지시문
실체 현미경과 광학 현미경의 특징에 대해 서술하세요.

학생 정보
학년,초5
지역,서울
성별,여
출처,리딩엠

지시문 정보
분량,100
키워드," 빛, 렌즈, 확대, 반사"

학생 답변
"북극에 사는 사람들은 에스키모라고 불린다. 그리고 아무리 추운 북극이라도 북극에는 여러 가지 동물이 많다. 예를 들면 쉽게 알 수 있는 북극곰, 북극여우, 그 외에 여러 동물들이 있고 그리고 미생물이라는 아주 작아서 현미경으로 봐야 하는 미생물이 있다. 그 미생물을 찾기 위해서는 평평한 얼음을 찾아서 둥글게 톱 등의 도구로 잘라서 봐야 한다. 미생물을 연구하면 북극에 대한 지식을 많이 얻을 수 있다. 
 실체 현미경은 두 눈으로 보는 입체 관찰이 가능하고, 빛을 반사하여 표면만 관찰한다. 때문에 생물 표본을 해부하거나 조립하거나 수리하는 데에 사용된다. 반면에 광학 현미경은 렌즈를 통해 빛을 투과시켜 투명한 표본을 관찰한다. 때문에 세포나 조직을 자세하게 관찰할 수 있어 생물학과 의학, 미생물학 연구에 사용된다. 그러므로 북극의 미생물체에 대한 연구에는 광학 현미경이 큰 도움을 줄 것이다."
