글쓰기 지시문
인권과 법의 중요성에 대해 설명하세요.

학생 정보
학년,초5
지역,서울
성별,남
출처,리딩엠

지시문 정보
분량,100
키워드,

학생 답변
"인종은 우열 없이 평등하지만 사람들은 그렇게 생각하지 않는다. 요즘 우리나라 사람들은 동남아 노동자를 차별하고 있다. 아이들은 대부분 차별하지 않지만 어른들이 아이들보다 휠씬 차별을 많이 한다. 어른들이 동남아 노동자를 차별하는 이유는 백인 우월주의에 빠져 있으며 옛날부터 순혈을 중시하였기 때문이다. 우리가 차별하면 끝이 아니라 동남아 노동자에 대한 문제점들은 많다.  개인이 사회에서 자유롭고 평등하게 살 수 있도록 하는 기본적인 조건을 제공한다.  요즘 사회적 질서와 개인의 자유가 자주 충돌합니다. 어떤 사람들은 개인의 자유를 원하고, 또 어떤 사람은 사회적 질서를 원합니다.  인권과 질서유지는 어느 한쪽이 중요하다기 보다는  모두에게 필효하다. 인권이 보장되지 않는 사회에서 남녀노소 모두가 제대로 된 자유과 권리를 누릴 수 없다. 또한 질서가 무너지면 인권보호하기도 힘들어진다. 그래서 둘 모두 우리 사회 공동체를 유지하기 위해 매우 중요하다. 인권은 모든 사람에게 평등한 기회를 보장하고, 차별을 금지하는 중요한 원칙이다. 인종, 성별, 종교, 장애, 성적 지향 등 어떠한 이유로도 차별받지 않을 권리를 제공함으로써, 사회의 모든 구성원이 동등하게 존중받고 기여할 수 있는 환경을 조성한다. 
 우리나라 사람들은 동남아 노동자들을 인간 이하 대우한다. 동남아 노동자들을 도구 취급하여 자기 마음대로 행동한다. 부상을 받아도 잘 치료해 주지 않고, 노동량과 시간을 고려하지 않고 우리나라 노동자들에 비하여 돈도 훨씬 적게 준다. 그리고 가장 충격적이게 느꼈던 것은 동남아 노동자들은 한글을 배울 때 ‘사과’, ‘달걀’ 등의 이런 말을 배우기 전에 ‘제발 때리지 마세요‘라는 말을 먼저 배운다는 것이었다. 이 말은 우리나라 사람들에게 말 뿐만 아니라 폭행 등으로도 차별당한다는 뜻이다.  중요한 것은 상대방의 문화를 이해하고 열린 태도를 가지며 인식하는 것이다. 이러한 인식이 바로잡힐 수 있도록 법이 먼저 마련되어야 한다."
