글쓰기 지시문
환경을 보호하기 위한 방법을 설명하세요.

학생 정보
학년,초5
지역,경기
성별,남
출처,리딩엠

지시문 정보
분량,100
키워드,

학생 답변
"갈라파고스는 에콰도르 해얀 서쪽 지점에 있다. 19개의 화산섬으로 이루어진 갈라파고스는 독특한 기후를 가지고 있어 희귀동물이 많다. 대표적으로 몸무게가 400kg에 달하는 코끼리거북, 몸길이가 무려 1.5m에 달하는 바다이구아나와 육지이구아나와 새이면서 날지 못하는 가마우지 등이 있다. 대부분이 동물들이 원시시대에 살았던 동물이다.

  이러한 갈라파고스를 환경파괴로부터 지켜주어야 한다. 갈라파고스를 전처럼 살리기 위해서는 첫번째, 관광객수를 제한하여야 한다. 1년에 십만명이 드나드는 섬이면 동물들은 당연히 힘들어질 수 밖에 없다. 희귀동물이 많이 서식하는 곳인데 사람들의 발길이 자주 닿는다면 동물들은 자신들의 생태계를 방해받고 결국엔 멸종하게 될 것이다. 관광객수를 대폭 줄여 동물들의 환경을 보존해주어야 한다.

  두번쨰로는 '위험에 처한 세계 유산'으로 다시 등록을 시켜야 한다. 갈라파고스는 원래 등록됐었는데 지금은 해지된 상태이다. 다시 등록시키게 된다면 많은 사람들이 갈라파고스에 대해 알게 되고 환경이 보존될 수 있도록 노력하게 될 것이다.

  세번쨰로는 희귀동물 보호구역을 만드는 것이다. 사람들이 들어오지 못하는 곳을 만들면 동물들도 편히 쉴 수 있을 것이다. 사람이 아예 들어올 수 없는 구역을 만들어 동물들이 자신들의 구역을 스스로 지켜낼 수 있도록 도와야한다.

  마지막으로는 수컷과 암컷을 데리고 번식을 시킨다. 그렇다면 환경 파괴를 막을 수 있고 종족을 유지시키면서 갈라파고스를 살리는 데에도 좋을 것이다.

  갈라파고스를 지키는 것은 인류 멸종과 많이 관련되어 있다. 인류 멸종시에 진화를 해 살아남을 수 있다면 갈라파고스를 통해 진화론을 뒷받침하는 길이 될 수 있다."
