글쓰기 지시문
"오리 배 한 대에는 4명이 탈 수 있습니다. 오리 배의 수를 △, 탈 수 있는 사람의 수를 □라고 할 때, 두 양 사이의 대응 관계를 식으로 나타내고, 36명이 오리 배에 타려고 할 때 필요한 오리 배는 적어도 몇 대인지 구하려고 합니다. 풀이 과정을 쓰고 답을 구해 보세요."

학생 정보
학년,초5
지역,인천
성별,남
출처,리딩엠

지시문 정보
분량,100
키워드," 곱셈, 식, 미지수, 대입"

학생 답변
"오리 배 한 대에 사람이 4명이 탈 수 있다고 문제에서 제시하였습니다. 그렇다면 오리 배 두 대에는 사람이 8명 탈 수 있고, 오리 배 세 대에는 사람이 12명 탈 수 있을 것입니다. 이 규칙성을 이용하여 해당 문제를 풀어보겠습니다. 미지수 △를 오리 배의 개수, 미지수 □를 탈 수 있는 사람의 수라고 할 때, △와 □의 관계식은 위에서 얻은 규칙성을 토대로 곱셈을 이용하여 나타낼 수 있습니다. 오리배가 1대, 2대, 3대로 증가할 때 탈 수 있는 사람의 수는 4명, 8명, 12명으로 증가했으므로, 관계식은 □=4×△가 됩니다. 해당 식을 이용하여 36명이 오리 배를 탈 때 필요한 오리 배의 최소 개수는 미지수 □에 36을 대입하여 구할 수 있습니다. □에 36을 대입하면 △는 9입니다. 따라서 필요한 오리 배의 개수는 적어도 9대입니다."
