글쓰기 지시문
경제 성장이 민주주의 발전에 미친 영향에 대해 논술하세요.

학생 정보
학년,20~30대
지역,인천
성별,남
출처,리딩엠

지시문 정보
분량,
키워드,

학생 답변
"현재 대한민국은 경제가 많이 발달한 나라이다. 대한민국은 6.25 전쟁 때 경제가 초토화되었으나 70~80년대에 많이 성장하였다. 이를 ‘한강의 기적’이라 부른다. 해방 이후 미국과 소련의 신탁통치로 분단되었으나 지금은 평화로운 분위기다.  대한민국의 평화를 위협했던 요소는 일본, 이승만, 박정희, 노태우, 전두환 등이 있다. 그들은 자신들의 이익을 위해서 법을 바꾸거나 시민들을 무자비하게 학살하였다. 당시 시민들은 4.19 혁명, 6월 민주항쟁, 5.18민주화혁명 등을 일으켰다. 그분들의 희생 덕분에 오늘의 민주주의 공화국인 대한민국이 있게 되었다. 경제성장은 에너지와 물질의 증가와 불가분의 관계에 있다. 현재 전 세계 연평균 경제 성장률은 3%이다. 2000년을 시작으로 매년 3%씩 성장한다면 경제 규모가 2100년 20배, 2200년에 370배, 2300년에 7,000배에 이르게 된다. 문제는 경제성장을 하는데 인간의 두뇌와 근육의 힘만으로 될 수 없다는 데 있다. 그만큼 더 에너지와 자원을 지구로부터 빼 써야 하고 그만큼 더 온실가스와 오염 먼지를 내뿜고 쓰레기를 쌓아야 한다. 이러한 이유들로 인해 현재 환경오염으로 인한 지구 온난화라는 세계적인 문제의 봉착하게 되었지만, 결론적으론 이러한 사태를 허용하게 된 데에는 처음 시작이 우리 사회가 민주주의를 기반으로 두고 있기 때문이라고 볼 수 있다. 그러나  세계 모든 사람이 생계를 해결하고도 남아돌 정도로 이미 많이 생산하고 있다. 지금 경제성장은 필요의 결핍을 채우기 위해서라기보다는 더 많은 물질을 욕망하고 축적하기 위해서다. 이로 인해 자원은 낭비되고 환경은 파괴되고 있다. 과잉된 경제성장은 자연에 의존하면서도 그 모태인 자연을 파괴하고 있다.경제 성장이 반드시 민주주의를 불러일으키는 것은 아니라는 것을 우리 지구의 현황만 봐도 알 수 있을 것이라고 생각한다 확실한 것은 전제정치에서 민주주의에로의 이동은어떠한 경제성장단계에서도 일어 날 수 있으나, 소득이 높은 단계에서는역행하는 경우는 거의 없을 것으로 본다. 성장은 민주주의를 선호하나그 역의 인과돤계는 북확실하다. 결론적으로 좋은 정부가 성장을 위하여 필요한 조건이지마는 민주주의가 같은 역활을 한다고는 분명하지가 않다. 우리나라만 해도 급진적인 경제 성장을 이룬 나라이지만, 그렇다고 빈부 격차나 유리 천장이 해소됐다고 보기 어렵다. 경제가 성장하기 위해서는 민주주의가 기반이 되어야 하지만, 반대로 경제 성장이 더 나은 민주주의를 이끌어냈다고 보기는 어렵다.  민주주의의 발전과 경제성장 중 무엇을 최우선으로 삼아야할 지라는 물음에 대해 민주주의 발전을 답한다. 우리나라 역사에서 이른바 한국식 민주주의라는 이름으로 경제성장을 위해 민주주의 발전은 억압되어 왔다. 그러나, 민주주의를 억압하면서 발전시킨 경제대국 대한민국의 현실은 어떤가? 갑의 입장인 대기업은 을의 입장인 중소기업, 시민들을 착취하고, 민주주의의 원리 중 하나인 법치주의는 그들에게 적용되지 않는다. 이것이 과연 민주주의를 억압당했던 대한민국 국민들에게 돌아간 경제 성장의 결과인가? 만약 민주주의가 발전하고 경제 성장이 발달했다면 어떻게 되었을까? 앞으로 우리는 어떠한 사회를 꿈꿀 수 있는가? 적어도 이러한 상황에서 탈피할 수 있도록 노력해야 한다. 더 많은 경제 성장이 근본적으로 더 나은 세상이 된다는 명제는 성립하지 않기 때문이다. 이미 경제성장은 수많은 빈부 격차를 파생시켰으며, 나아가 말 못하는 동식물의 권익을 침해하며 지구의 파괴를 일으키고 있다. 이는 현재도 진행 중인 일들이다. 경제 성장과 민주주의 중 어느 개념을 더 우선 순위에 두어야 하는지 질문을 던져 봤을 때, 우리 모두 민주주의를 근간으로 두어야 한다. 결국에는 경제 성장이 이룬 것은 보이지 않는 사회의 깊은 문제들을 더욱 확립시켰을 뿐이기 때문이다. 우리 모두 이러한 사실을 정확히 인지하고 어떻게 더 나은 발전을 도모해야 할지 생각해야 한다. 그러한 사회가 진정한 민주주의이라고 볼 수 있을 것이다. 유토피아는 결국에 모든 게 평등한 사회이다."
